id,case_number,date,block,iucr_code,location_desc,arrest,domestic,beat_num,district_code,ward_no,community_code,fbi_code,x_coordinate,y_coordinate,year,date_of_update,latitude,longitude,location
10508693,HZ250496,5/3/2016,013XX S SAWYER AVE,486,APARTMENT,TRUE,TRUE,1022,10,24,29,08B,1154907,1893681,2016,5/10/2016,41.86407316,-87.70681861,"(41.864073157, -87.706818608)"
10508695,HZ250409,5/3/2016,061XX S DREXEL AVE,486,RESIDENCE,FALSE,TRUE,313,3,20,42,08B,1183066,1864330,2016,5/10/2016,41.78292153,-87.60436317,"(41.782921527, -87.60436317)"
10508697,HZ250503,5/3/2016,053XX W CHICAGO AVE,470,STREET,FALSE,FALSE,1524,15,37,25,24,1140789,1904819,2016,5/10/2016,41.89490828,-87.75837196,"(41.894908283, -87.758371958)"
10508698,HZ250424,5/3/2016,049XX W FULTON ST,460,SIDEWALK,FALSE,FALSE,1532,15,28,25,08B,1143223,1901475,2016,5/10/2016,41.88568685,-87.74951598,"(41.885686845, -87.749515983)"
10508699,HZ250455,5/3/2016,003XX N LOTUS AVE,820,RESIDENCE,FALSE,TRUE,1523,15,28,25,6,1139890,1901675,2016,5/10/2016,41.88629724,-87.76175071,"(41.886297242, -87.761750709)"
10508702,HZ250447,5/3/2016,082XX S MARYLAND AVE,041A,STREET,FALSE,FALSE,631,6,8,44,04B,1183336,1850642,2016,5/10/2016,41.74535402,-87.6037989,"(41.745354023, -87.603798903)"
10508703,HZ250489,5/3/2016,027XX S STATE ST,460,CHA HALLWAY/STAIRWELL/ELEVATOR,FALSE,FALSE,133,1,3,35,08B,1176730,1886544,2016,5/10/2016,41.84402377,-87.62692325,"(41.844023772, -87.626923253)"
10508704,HZ250514,5/3/2016,002XX E 46TH ST,460,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,215,2,3,38,08B,1178514,1874573,2016,5/10/2016,41.81113396,-87.62074077,"(41.811133958, -87.62074077)"
10508709,HZ250523,5/3/2016,014XX W DEVON AVE,460,SIDEWALK,FALSE,FALSE,2432,24,40,1,08B,1165696,1942616,2016,5/10/2016,41.99813061,-87.66581404,"(41.99813061, -87.665814038)"
10508982,HZ250667,5/3/2016,069XX S ASHLAND AVE,486,STREET,FALSE,TRUE,735,7,17,67,08B,1166876,1858796,2016,5/10/2016,41.76809684,-87.66387859,"(41.768096835, -87.663878589)"
